Manufactor,Year,Model,Hand,Gear,Engine_capacity,Engine_type,Prev_ownership,Curr_ownership,Area,City,Price,Pic_num,Cre_date,Repub_date,Description,Color,Km,Test
מיצובישי,2005,לנסר קלאסיק,8,אוטומטית,,בנזין,פרטית,פרטית,ירושלים והסביבה,ירושלים,4700.0,3,2024-05-22,2024-05-27,רכב במצב פצצה שירת אותי נאמנה הוחלף לפני חודש תושבות מנוע פלאגים ברקסים צלחות רפידות עבר טיפול 10000 ממש לאחרונה מזגן מקפיא רכב במצב מצוין פשוט תדלק וסע גמיש מעט במעמד מכירת הרכב לרצינים בלבד נמכר עקב שדרוג לשנתון יותר גבוה  ,כסוף,,147
מיצובישי,2016,GT3000,2,אוטומטית,,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,נשר,92000.0,4,2024-05-05,2024-05-05, אאוטלנדר המפואר פרמיום 7 מקומות טופל אצל היבואן שמור מאוד ללא תקלות ללא תאונות מרווח מאוד   ריפודי עור. חישוקי מגנזיום משודרגים. כיסא נהג חשמלי מאוד נח. סנרוף.נעילת שמשות ומראות אוטומטי  ,לבן,,
מיצובישי,2016,I-MIEV,2,אוטומטית,,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,נשר,92000.0,4,2024-05-05,2024-05-04,אאוטלנדר הדגם המפואר 7 מקומות שמור ומטופל אצל היבואן ללא תאונות ללא תקלות רכב נח ומרווח מאוד גמיש מעט במחיר  ריפודי עור.חישוקי מגנזיום משודרגים.כיסא נהג חשמלי מאוד נח. חימום במושבים הקידמיים.נעילת חלונות ומראות אוטומטי  ,לבן,,267
מיצובישי,2010,לנסר,3,אוטומטית,,בנזין,פרטית,פרטית,נתניה והסביבה,נתניה,10000.0,7,2024-03-16,2024-03-16,גיר מנוע תקינים מעככת מוביליין רכב 7 שנים עצלי ללא בעיה .  ,כסוף,,177
מיצובישי,2008,לנסר,3,אוטומטית,,בנזין,פרטית,פרטית,חיפה וחוף הכרמל,חיפה,7500.0,6,2023-11-06,2023-12-17,"לרציניים בלבד!!מוכר את הרכב שלי בצער רב. האוטו ללא תאונות יש לו מצבר+אלטרנטור חדשים עם ביטוח, מזגן עובד קור וחום אפשר להתחבר למערכת גם עם כבל USB ויש רמקולים מעולים עם בס חזק, גלגלי מגנזיום.בגדול הרכב מושלם רק להשים דלק ולנסוע ( אני לרוב בבסיס אז בתיאום מראש)ולא בשבת. ",כחול,,
מיצובישי,2011,לנסר איוולושן,2,אוטומטית,,בנזין,פרטית,פרטית,גליל ועמקים,נצרת עילית,13000.0,4,2023-11-16,2023-11-16,"רכב כמו חדש , מצויין , חיסכוני , טסט עד 05/2024 170,000 ק״ם  ",שחור,,
מיצובישי,2014,אטראז',5,אוטומטית,,בנזין,פרטית,פרטית,מודיעין והסביבה,מודיעין מכבים רעות,16000.0,5,2023-10-23,2023-10-25,"רכב במצב מעולה כמו חדש.אמין,לא רואה מוסך,חסכוני בדלק.לאחר טיפול תקופתי מקיף,מצבר חדש,צמיגים חדשים.תא מטען ענק ,מזגן מקפיא.טסט עד פברואר.מחירון לוי יצחק 19,300 ש""ח מחיר נדרש 16,000 ש""ח. ",לבן פנינה,,
מיצובישי,2009,לנסר ספורטבק,3,אוטומטית,,בנזין,פרטית,פרטית,פתח תקוה והסביבה,פתח תקווה,17000.0,4,2023-07-09,2023-07-09,"הרכב אמין, שמור ומטופל, מצבר חדש ממש, מסך מולטימדיה גדול ואיכותי, מצלמת רוורס, מנוע 1800(!). ",שחור,,
מיצובישי,2005,לנסר קלאסיק,3,טיפטרוניק,,בנזין,פרטית,פרטית,בית שמש והסביבה,בית שמש,7250.0,7,2023-05-15,2023-05-15," רכב שמור ללא תקלות יש טסט ל 7 חודש מזגן מקפיא יש לרכב שני מפתחות ושני שלטים בשווי כל אחד 300 שקלים מערכת שמע טובה מאוד עם בלוטוס מגיע עם שואב אבק שמתחבר למצת של הרכב, כבלים , מים ירוקים , ועוד הרבה דברים יש חיישני רוורס קילומטר נמוך יחסית לשנתון נוסע נסיעות ארוכות ללא שום בעיה לא מתחמם ואין נזילות האוטו עבר טיפול גדול לפני הטסט צמיגים במצב טוב מאוד רק לשים דלק ולנסוע לא בשבת גמיש ואין ווצאפפ ",כסוף,,
מיצובישי,2012,לנסר,2,אוטומטית,,בנזין,פרטית,פרטית,חדרה וישובי עמק חפר,חדרה,15000.0,1,2023-05-13,2023-05-13,"Mitsubishi Lancer Instyle 2012 1.6יד 2215,000 ק""מטסט: 09ברכב קיימת מערכת מולטימדיה Android 9.1 סאב חברת Pioneer ו2 אמפליפיירים מחברת Logicרכב מעולה לא עושה בעיות נדרש טיפול קוסמטי גיורא-0527724514 ",לבן,,
